path,t,SPX,SJIM,BIG_MAC
1,11/16/2023,4220.78478,25.22126674,5.297601121
1,12/16/2023,4139.976209,26.45188504,5.347082407
1,1/16/2024,4129.455484,26.32186846,5.371904266
1,2/16/2024,4016.46965,27.62070528,5.399690339
1,3/16/2024,4000.415084,27.89089401,5.432544667
1,4/16/2024,4104.769052,28.22543785,5.457178848
1,5/16/2024,4245.13576,28.9327736,5.489679734
1,6/16/2024,4148.410999,30.32213779,5.490870925
1,7/16/2024,4342.055779,30.71756361,5.503531931
1,8/16/2024,4478.204692,29.98269402,5.518463481
1,9/16/2024,4414.077946,28.7632806,5.4864259
1,10/16/2024,4511.174944,28.53119149,5.496481659
1,11/16/2024,4367.237434,29.66453532,5.471657041
1,12/16/2024,4463.307239,28.55718496,5.482146947
1,1/16/2025,4537.141865,29.59917006,5.497343694
1,2/16/2025,4477.425838,28.203279,5.506573114
1,3/16/2025,4521.692877,29.40208474,5.546582902
1,4/16/2025,4527.912609,30.28403491,5.58345297
1,5/16/2025,4560.544569,29.10720972,5.619781855
1,6/16/2025,4395.302135,30.43730682,5.661562711
1,7/16/2025,4294.631173,31.82907139,5.712030802
1,8/16/2025,4134.697553,33.22005325,5.713386546
1,9/16/2025,4108.599232,34.47315062,5.717918985
1,10/16/2025,4264.085526,33.58432072,5.759490808
1,11/16/2025,4085.978165,32.19923191,5.76840412
1,12/16/2025,4285.672162,31.74094153,5.806377759
1,1/16/2026,4485.888619,31.4686414,5.825353257
1,2/16/2026,4509.556981,31.98192291,5.860176481
1,3/16/2026,4303.734786,31.6085171,5.898891185
1,4/16/2026,4141.577287,31.89225688,5.923120051
1,5/16/2026,4009.761973,32.63684609,5.981707395
1,6/16/2026,3811.125863,31.3233312,5.984714916
1,7/16/2026,3997.937712,32.66440183,6.039264753
1,8/16/2026,4162.700527,33.93743681,6.097701194
1,9/16/2026,4163.706758,34.48135199,6.050293714
1,10/16/2026,4074.58755,36.04361574,6.071487008
1,11/16/2026,4240.259068,35.98922232,6.090139053
1,12/16/2026,4247.563474,34.47103716,6.05785677
1,1/16/2027,4123.548152,35.74002683,6.091702798
1,2/16/2027,4004.767722,36.27364829,6.119610124
1,3/16/2027,4126.135725,37.70515043,6.167963449
1,4/16/2027,4166.200619,39.45330521,6.207239037
1,5/16/2027,4329.965601,40.11930751,6.235089515
1,6/16/2027,4436.501901,41.47499625,6.291087615
1,7/16/2027,4517.586554,43.27160068,6.307483001
1,8/16/2027,4596.906725,42.90069233,6.337553894
1,9/16/2027,4762.943336,44.28819769,6.359928978
1,10/16/2027,4788.20479,43.37114852,6.395781229
1,11/16/2027,4685.647469,44.16487061,6.409822555
1,12/16/2027,4909.827233,44.54698445,6.440081781
1,1/16/2028,5032.867985,44.32029499,6.481169988
1,2/16/2028,5168.548116,46.39311413,6.53756205
1,3/16/2028,5377.416658,47.77919278,6.60278887
1,4/16/2028,5381.971102,49.02261544,6.643311817
1,5/16/2028,5328.789554,51.07764221,6.705643227
1,6/16/2028,5175.108607,51.86383454,6.743290481
1,7/16/2028,5356.347348,51.62325874,6.806646664
1,8/16/2028,5168.537017,53.22623802,6.858508973
1,9/16/2028,5148.757943,53.7185558,6.88987479
1,10/16/2028,5338.358223,55.0004362,6.903419778
1,11/16/2028,5363.45368,54.70074853,6.937979742
1,12/16/2028,5630.99456,52.67700793,6.938781017
1,1/16/2029,5548.786093,54.59515073,6.961859084
1,2/16/2029,5450.954999,53.16457572,7.010598955
1,3/16/2029,5181.128505,50.65369667,7.014437869
1,4/16/2029,5236.626003,49.69244408,7.049748557
1,5/16/2029,5302.732585,50.27211834,7.06454236
1,6/16/2029,5071.519783,52.55949761,7.130243869
1,7/16/2029,5100.49036,50.39826067,7.144276885
1,8/16/2029,5311.69294,48.29968174,7.157215638
1,9/16/2029,5562.241814,49.58635085,7.162817883
1,10/16/2029,5785.899682,50.62772062,7.225973349
1,11/16/2029,5951.385754,51.90870089,7.265590023
1,12/16/2029,5740.226612,51.53160017,7.315814635
1,1/16/2030,5678.301031,53.3844107,7.363587197
1,2/16/2030,5820.162018,54.27152018,7.384820027
1,3/16/2030,5734.848816,55.62665995,7.436975477
1,4/16/2030,5622.045255,54.6050374,7.464114748
1,5/16/2030,5770.89994,55.81030404,7.498671794
1,6/16/2030,5930.107311,57.75682701,7.504987087
1,7/16/2030,5913.926012,59.8972731,7.577695582
1,8/16/2030,5653.028143,59.60029752,7.6463993
1,9/16/2030,5635.607437,62.39056453,7.722697095
1,10/16/2030,5661.225878,63.47163254,7.759691778
1,11/16/2030,5832.749126,65.60894448,7.813790449
1,12/16/2030,5915.135574,66.02513004,7.82474413
1,1/16/2031,5764.649816,68.91720389,7.826672971
1,2/16/2031,6046.773506,66.21533351,7.885121781
1,3/16/2031,5804.155183,63.80644095,7.960047021
1,4/16/2031,5729.810736,63.49730514,7.977670893
1,5/16/2031,5468.573357,66.02757904,7.980187375
1,6/16/2031,5258.976823,66.34414429,8.032902427
1,7/16/2031,5278.375107,63.54957011,8.067347745
1,8/16/2031,5033.056989,62.55457864,8.124650806
1,9/16/2031,5273.30317,62.95797812,8.151775388
1,10/16/2031,5154.872895,65.68670536,8.163114239
1,11/16/2031,4933.611376,66.42575164,8.221775837
1,12/16/2031,4891.184221,68.64511706,8.252017557
1,1/16/2032,5089.82636,71.16170373,8.283360264
1,2/16/2032,5115.054337,71.08450589,8.210317744
1,3/16/2032,5330.060589,71.93982806,8.287458857
1,4/16/2032,5262.646931,70.0160968,8.231063893
1,5/16/2032,5404.645417,69.48647008,8.246619997
1,6/16/2032,5427.740628,70.51758603,8.279535054
1,7/16/2032,5219.630213,67.16580622,8.342763557
1,8/16/2032,5407.682506,68.43500505,8.325359469
1,9/16/2032,5657.812547,65.68769934,8.383124814
1,10/16/2032,5560.829075,63.62588163,8.433273443
1,11/16/2032,5507.642107,63.62917203,8.469171272
1,12/16/2032,5423.593366,65.48025476,8.5167861
1,1/16/2033,5584.571776,65.85527422,8.447801246
1,2/16/2033,5745.205124,66.30370674,8.468766003
1,3/16/2033,5905.728225,67.01483258,8.553330663
1,4/16/2033,5774.581658,69.14348324,8.596298583
1,5/16/2033,6012.047945,69.96923951,8.596573592
1,6/16/2033,6203.054036,70.82616276,8.654485481
1,7/16/2033,6403.417931,67.44333094,8.662289455
1,8/16/2033,6283.646788,65.82078851,8.664041527
1,9/16/2033,6025.516095,66.12898622,8.727030414
1,10/16/2033,6175.357745,64.77332589,8.746972215
1,11/16/2033,6184.614656,63.52714281,8.830699815
1,12/16/2033,6449.846755,63.52965182,8.84748449
1,1/16/2034,6340.762241,65.83791819,8.838328102
1,2/16/2034,6392.472533,66.00777461,8.823483363
1,3/16/2034,6654.067598,68.94794819,8.886976184
1,4/16/2034,6855.863469,71.98717157,8.959589582
1,5/16/2034,6563.171894,75.26823347,9.038189467
1,6/16/2034,6291.599902,77.2298492,9.095849288
1,7/16/2034,6416.18604,79.56452399,9.132183704
1,8/16/2034,6212.791881,81.02573329,9.166874228
1,9/16/2034,6369.000075,80.93969914,9.219369981
1,10/16/2034,6446.336644,80.30354347,9.166761606
1,11/16/2034,6340.585567,77.43522899,9.14804802
1,12/16/2034,6049.923143,80.83426606,9.106163431
1,1/16/2035,6056.562336,77.26685613,9.136207241
1,2/16/2035,5831.45445,79.00320539,9.137995115
1,3/16/2035,6070.893996,82.13527981,9.195578983
1,4/16/2035,5818.885638,84.78061169,9.214524651
1,5/16/2035,5835.13837,86.55097742,9.292076371
1,6/16/2035,6069.27848,90.46738032,9.376079669
1,7/16/2035,6246.938768,92.25558536,9.396162761
1,8/16/2035,6456.150437,94.31411775,9.390539058
1,9/16/2035,6689.596177,96.48634168,9.340925455
1,10/16/2035,6854.766128,92.39683294,9.37607947
1,11/16/2035,6722.284094,96.92547749,9.402386512
1,12/16/2035,6473.914658,100.8896344,9.47211153
